STATEFP10,COUNTYFP10,TRACTCE10,id,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geo_id,census_tra,county,estimate,error,year,tract_area,WHPWeigh_1,TOT_POP_19,CNTY_AREA
06,041,128200,6041128200,1282,Census Tract,G5020,S,3941283,38514,37.8939641,-122.5498544,1400000US06041128200,1282,Marin County,4722,258,2017,3979798.036,1.50996946346,259943,2144961385
06,041,129000,6041129000,1290,Census Tract,G5020,S,1284780,0,37.8692756,-122.513094,1400000US06041129000,1290,Marin County,2686,299,2017,1284778.945,1.50996946346,259943,2144961385
06,079,012102,6079012102,121.02,Census Tract,G5020,S,3105827,126995,35.1222342,-120.6245239,1400000US06079012102,121.02,San Luis Obispo County,5641,466,2017,3232827.216,2.0655580812,282165,9364791750
06,001,420100,6001420100,4201,Census Tract,G5020,S,542768,0,37.8947177,-122.2910571,1400000US06001420100,4201,Alameda County,2434,126,2017,542766.265,0.70832809456,1656754,2126920907
06,001,436401,6001436401,4364.01,Census Tract,G5020,S,3116535,0,37.6715228,-122.0650914,1400000US06001436401,4364.01,Alameda County,7758,526,2017,3116539.096,0.70832809456,1656754,2126920907
06,095,251702,6095251702,2517.02,Census Tract,G5020,S,579697,0,38.1221051,-122.2687097,1400000US06095251702,2517.02,Solano County,2602,289,2017,579694.943,1.05043332308,441829,2347147562
06,095,251901,6095251901,2519.01,Census Tract,G5020,S,3147389,239322,38.1375695,-122.2403065,1400000US06095251901,2519.01,Solano County,4880,460,2017,3386704.359,1.05043332308,441829,2347147562
06,095,251902,6095251902,2519.02,Census Tract,G5020,S,2045543,0,38.1480354,-122.244108,1400000US06095251902,2519.02,Solano County,6226,350,2017,2045542.177,1.05043332308,441829,2347147562
06,095,251903,6095251903,2519.03,Census Tract,G5020,S,2569631,14062,38.1478379,-122.2282174,1400000US06095251903,2519.03,Solano County,5643,417,2017,2583688.564,1.05043332308,441829,2347147562
06,095,253106,6095253106,2531.06,Census Tract,G5020,S,1093169,0,38.3417498,-121.9660442,1400000US06095253106,2531.06,Solano County,3503,300,2017,1093168.611,1.05043332308,441829,2347147562
06,095,251803,6095251803,2518.03,Census Tract,G5020,S,3375520,1772464,38.1357308,-122.2650034,1400000US06095251803,2518.03,Solano County,5143,456,2017,5147989.383,1.05043332308,441829,2347147562
06,095,251804,6095251804,2518.04,Census Tract,G5020,S,1654747,1026944,38.1503908,-122.282969,1400000US06095251804,2518.04,Solano County,3777,265,2017,2681690.643,1.05043332308,441829,2347147562
06,095,250106,6095250106,2501.06,Census Tract,G5020,S,18894944,31375,38.136068,-122.1860515,1400000US06095250106,2501.06,Solano County,4912,403,2017,18926316.76,1.05043332308,441829,2347147562
06,001,436602,6001436602,4366.02,Census Tract,G5020,S,892099,0,37.6518299,-122.0851774,1400000US06001436602,4366.02,Alameda County,5084,351,2017,892097.027,0.70832809456,1656754,2126920907
06,001,405100,6001405100,4051,Census Tract,G5020,S,1260410,0,37.811433,-122.2322066,1400000US06001405100,4051,Alameda County,4334,217,2017,1260409.759,0.70832809456,1656754,2126920907
06,001,404900,6001404900,4049,Census Tract,G5020,S,1011875,0,37.8041479,-122.2215015,1400000US06001404900,4049,Alameda County,3937,192,2017,1011871.384,0.70832809456,1656754,2126920907
06,001,451703,6001451703,4517.03,Census Tract,G5020,S,1720327,0,37.6673232,-121.8010388,1400000US06001451703,4517.03,Alameda County,4493,308,2017,1720329.785,0.70832809456,1656754,2126920907
06,099,004000,6099004000,40,Census Tract,G5020,S,156149743,1805543,37.6497629,-121.1440457,1400000US06099004000,40,Stanislaus County,3825,260,2017,157955268,0.78146346217,543194,3921018697
06,075,031201,6075031201,312.01,Census Tract,G5020,S,512112,0,37.7217815,-122.4573371,1400000US06075031201,312.01,San Francisco County,7477,678,2017,512109.827,0.16803157984,874961,600655948.9
06,075,031202,6075031202,312.02,Census Tract,G5020,S,309420,0,37.7193286,-122.4523956,1400000US06075031202,312.02,San Francisco County,3451,380,2017,309418.878,0.16803157984,874961,600655948.9
06,075,031301,6075031301,313.01,Census Tract,G5020,S,451592,0,37.7193281,-122.4678661,1400000US06075031301,313.01,San Francisco County,4397,349,2017,451590.222,0.16803157984,874961,600655948.9
06,013,314102,6013314102,3141.02,Census Tract,G5020,S,4613667,914339,38.0314011,-121.9170283,1400000US06013314102,3141.02,Contra Costa County,5739,513,2017,5528004.412,1.20197693925,1142251,2082117208
06,013,307101,6013307101,3071.01,Census Tract,G5020,S,2132789,0,37.9866768,-121.8155798,1400000US06013307101,3071.01,Contra Costa County,4535,368,2017,2132792.071,1.20197693925,1142251,2082117208
06,013,307102,6013307102,3071.02,Census Tract,G5020,S,1603153,0,38.0004738,-121.8155705,1400000US06013307102,3071.02,Contra Costa County,5346,453,2017,1603150.945,1.20197693925,1142251,2082117208
06,013,307201,6013307201,3072.01,Census Tract,G5020,S,1552319,0,38.0025702,-121.8485743,1400000US06013307201,3072.01,Contra Costa County,3506,364,2017,1552316.157,1.20197693925,1142251,2082117208
06,013,307202,6013307202,3072.02,Census Tract,G5020,S,703981,0,38.0037021,-121.8278013,1400000US06013307202,3072.02,Contra Costa County,4129,419,2017,703982.592,1.20197693925,1142251,2082117208
06,013,307204,6013307204,3072.04,Census Tract,G5020,S,1499997,0,37.9946847,-121.8308707,1400000US06013307204,3072.04,Contra Costa County,4237,336,2017,1499995.393,1.20197693925,1142251,2082117208
06,041,128100,6041128100,1281,Census Tract,G5020,S,9199491,0,37.8717863,-122.5317489,1400000US06041128100,1281,Marin County,6476,548,2017,9199490.929,1.50996946346,259943,2144961385
06,041,104300,6041104300,1043,Census Tract,G5020,S,9691493,3565444,38.0772871,-122.5011285,1400000US06041104300,1043,Marin County,1635,152,2017,13256953.8,1.50996946346,259943,2144961385
06,041,132100,6041132100,1321,Census Tract,G5020,S,42866847,10752772,37.9216421,-122.6984111,1400000US06041132100,1321,Marin County,1936,307,2017,53619643.44,1.50996946346,259943,2144961385
06,041,106001,6041106001,1060.01,Census Tract,G5020,S,12112819,1629242,38.0300902,-122.5177252,1400000US06041106001,1060.01,Marin County,4362,489,2017,13742074.73,1.50996946346,259943,2144961385
06,041,102202,6041102202,1022.02,Census Tract,G5020,S,3162535,0,38.1166035,-122.5912651,1400000US06041102202,1022.02,Marin County,6419,526,2017,3162536.759,1.50996946346,259943,2144961385
06,041,102203,6041102203,1022.03,Census Tract,G5020,S,2721281,0,38.1104411,-122.5703276,1400000US06041102203,1022.03,Marin County,5737,459,2017,2721283.122,1.50996946346,259943,2144961385
06,067,005402,6067005402,54.02,Census Tract,G5020,S,5484290,207563,38.5897818,-121.432067,1400000US06067005402,54.02,Sacramento County,2521,307,2017,5691854.716,0.62902469776,1524553,2575386474
06,001,442302,6001442302,4423.02,Census Tract,G5020,S,949356,0,37.5362404,-121.9601239,1400000US06001442302,4423.02,Alameda County,5988,427,2017,949355.523,0.70832809456,1656754,2126920907
06,001,406602,6001406602,4066.02,Census Tract,G5020,S,414724,0,37.7964782,-122.2143072,1400000US06001406602,4066.02,Alameda County,2815,323,2017,414725.104,0.70832809456,1656754,2126920907
06,001,443322,6001443322,4433.22,Census Tract,G5020,S,1148282,0,37.482983,-121.9198352,1400000US06001443322,4433.22,Alameda County,3196,212,2017,1148279.249,0.70832809456,1656754,2126920907
06,001,450745,6001450745,4507.45,Census Tract,G5020,S,5323256,1969293,37.6803328,-121.8519308,1400000US06001450745,4507.45,Alameda County,6113,339,2017,7292545.646,0.70832809456,1656754,2126920907
06,037,920334,6037920334,9203.34,Census Tract,G5020,S,2780846,21085,34.3873773,-118.5672498,1400000US06037920334,9203.34,Los Angeles County,6236,418,2017,2801933.784,0.50591068734,10081570,12300987365
06,037,141500,6037141500,1415,Census Tract,G5020,S,3331525,0,34.1405078,-118.4786426,1400000US06037141500,1415,Los Angeles County,2948,252,2017,3331526.46,0.50591068734,10081570,12300987365
06,037,800327,6037800327,8003.27,Census Tract,G5020,S,5668714,0,34.1560251,-118.7447837,1400000US06037800327,8003.27,Los Angeles County,5927,518,2017,5668709.864,0.50591068734,10081570,12300987365
06,037,800331,6037800331,8003.31,Census Tract,G5020,S,1908265,0,34.1572785,-118.7998208,1400000US06037800331,8003.31,Los Angeles County,827,157,2017,1908261.755,0.50591068734,10081570,12300987365
06,037,800332,6037800332,8003.32,Census Tract,G5020,S,4805507,0,34.1616929,-118.7720749,1400000US06037800332,8003.32,Los Angeles County,6417,462,2017,4805507.807,0.50591068734,10081570,12300987365
06,111,007903,6111007903,79.03,Census Tract,G5020,S,3848056,31113,34.2971039,-118.7529854,1400000US06111007903,79.03,Ventura County,4869,277,2017,3879171.454,1.49877170953,847263,5714971190
06,111,007606,6111007606,76.06,Census Tract,G5020,S,13768482,0,34.2959376,-118.90313,1400000US06111007606,76.06,Ventura County,1581,222,2017,13768484.82,1.49877170953,847263,5714971190
06,107,001400,6107001400,14,Census Tract,G5020,S,124522034,0,36.3259262,-119.1202601,1400000US06107001400,14,Tulare County,5721,440,2017,124522027.6,1.32675905403,461898,12531102331
06,107,000100,6107000100,1,Census Tract,G5020,S,2726653151,13360778,36.5233796,-118.8365594,1400000US06107000100,1,Tulare County,4853,504,2017,2740013276,1.32675905403,461898,12531102331
06,107,000302,6107000302,3.02,Census Tract,G5020,S,131133286,0,36.4518121,-119.4468987,1400000US06107000302,3.02,Tulare County,3386,254,2017,131133309.7,1.32675905403,461898,12531102331
06,107,001301,6107001301,13.01,Census Tract,G5020,S,21977996,0,36.3597156,-119.251738,1400000US06107001301,13.01,Tulare County,8154,921,2017,21977997.97,1.32675905403,461898,12531102331
06,107,001601,6107001601,16.01,Census Tract,G5020,S,2387147,0,36.3027673,-119.2038681,1400000US06107001601,16.01,Tulare County,5554,571,2017,2387152.37,1.32675905403,461898,12531102331
06,107,001302,6107001302,13.02,Census Tract,G5020,S,11177779,0,36.3354354,-119.2516095,1400000US06107001302,13.02,Tulare County,8313,764,2017,11177784.53,1.32675905403,461898,12531102331
06,111,003100,6111003100,31,Census Tract,G5020,S,3949707,0,34.2173085,-119.1684337,1400000US06111003100,31,Ventura County,14974,1283,2017,3949703.86,1.49877170953,847263,5714971190
06,111,005908,6111005908,59.08,Census Tract,G5020,S,1846110,0,34.179195,-118.9225558,1400000US06111005908,59.08,Ventura County,3058,283,2017,1846110.743,1.49877170953,847263,5714971190
06,111,001301,6111001301,13.01,Census Tract,G5020,S,3441061,166671,34.2788511,-119.1565313,1400000US06111001301,13.01,Ventura County,8193,574,2017,3607720.334,1.49877170953,847263,5714971190
06,111,007300,6111007300,73,Census Tract,G5020,S,142905088,2847294,34.1040633,-118.9803373,1400000US06111007300,73,Ventura County,1868,196,2017,145752397.7,1.49877170953,847263,5714971190
06,111,001201,6111001201,12.01,Census Tract,G5020,S,6640904,3104,34.2996993,-119.1600923,1400000US06111001201,12.01,Ventura County,4849,293,2017,6644032.18,1.49877170953,847263,5714971190
06,111,001202,6111001202,12.02,Census Tract,G5020,S,2968350,487,34.2820947,-119.1878275,1400000US06111001202,12.02,Ventura County,6860,410,2017,2968831.063,1.49877170953,847263,5714971190
06,111,001204,6111001204,12.04,Census Tract,G5020,S,120970410,21002,34.3562588,-119.2271059,1400000US06111001204,12.04,Ventura County,3117,282,2017,120991427.9,1.49877170953,847263,5714971190
06,111,000302,6111000302,3.02,Census Tract,G5020,S,103562858,34225,34.4088728,-118.8702018,1400000US06111000302,3.02,Ventura County,7837,515,2017,103597046,1.49877170953,847263,5714971190
06,111,001401,6111001401,14.01,Census Tract,G5020,S,1355184,0,34.2736288,-119.1790274,1400000US06111001401,14.01,Ventura County,4109,285,2017,1355184.669,1.49877170953,847263,5714971190
06,111,001302,6111001302,13.02,Census Tract,G5020,S,3548566,134000,34.2870514,-119.1362243,1400000US06111001302,13.02,Ventura County,2069,276,2017,3682548.606,1.49877170953,847263,5714971190
06,111,001502,6111001502,15.02,Census Tract,G5020,S,2606557,2752,34.263207,-119.2208044,1400000US06111001502,15.02,Ventura County,9260,572,2017,2609313.572,1.49877170953,847263,5714971190
