id,geo_id,county,county_pop_19,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,tract_id_num,geo_id_tract
6037501504,1400000US06037501504,Los Angeles County,10081570,-0.733333349,0.00420755,-46.07878788,1.37E-04,-0.012889531,2.60E-12,High_Dens_Interface,2,6037501504,06037501504
6037139702,1400000US06037139702,Los Angeles County,10081570,0.51111114,0.049098015,42.95151515,0.034358032,0.007110959,5.19E-07,Med_Dens_Interface,2,6037139702,06037139702
6037300901,1400000US06037300901,Los Angeles County,10081570,0.244444445,0.371093273,7.363636364,0.772709487,0.001165412,0.400113749,Med_Dens_Interface,2,6037300901,06037300901
6037462600,1400000US06037462600,Los Angeles County,10081570,-0.629253209,0.015322238,-26.75757576,0.003372655,-0.011616673,4.13E-07,High_Dens_Interface,2,6037462600,06037462600
6037501802,1400000US06037501802,Los Angeles County,10081570,-0.179786623,0.529598832,-7.951515152,0.564571136,-0.002275783,0.221768982,High_Dens_Interface,2,6037501802,06037501802
6037910202,1400000US06037910202,Los Angeles County,10081570,0.377777785,0.152406216,48.90909091,0.133862105,0.008748952,2.84E-09,Med_Dens_Interface,2,6037910202,06037910202
6037920028,1400000US06037920028,Los Angeles County,10081570,0.911111116,3.47E-04,242.169697,5.99E-06,0.038780611,1.15E-169,High_Dens_Interface,2,6037920028,06037920028
6037920035,1400000US06037920035,Los Angeles County,10081570,-0.244444445,0.371093333,-49.84848485,0.350463472,-0.006534462,2.18E-07,High_Dens_Interface,2,6037920035,06037920035
6037920036,1400000US06037920036,Los Angeles County,10081570,-0.866666675,6.77E-04,-35.35151515,1.72E-05,-0.010649759,2.52E-08,High_Dens_Interface,2,6037920036,06037920036
6037920037,1400000US06037920037,Los Angeles County,10081570,0.644444466,0.01226604,226.2909091,0.020505348,0.02910974,7.26E-120,High_Dens_Interface,2,6037920037,06037920037
6073019903,1400000US06073019903,San Diego County,3316073,0.866666675,6.77E-04,112.5030303,1.93E-04,0.02473672,9.27E-52,Med_Dens_Interface,2,6073019903,06073019903
